id,summary,displayAddress,latitude,longitude,propertySubType,tenureType,price,priceFrequency,currencyCode,firstVisibleDate,listingUpdateDate,updateDate,listingUpdateReason,commercial,residential,numberOfImages,status,changed_columns,Region,message,location,date,address,agentCompanyAddress,agentCompanyName,agentCompanyPhone,agentCompanyPostcode,detailedDescription,infoReelItems,keyFeatures,listingHistory,nearestStations,pageTitle,postalCode,primaryPrice,region,shareDescription,sizeAc,sizeFt,tenure,tenureFull,name,description,currency,pointsOfInterest,analyticsTaxonomy,floorAreaUnits,pricePerUnit,matched_keyword,keyword,agentCity,agentEmail,agentName,agentPhone,agentPostcode,agentStreet,useClass,pricePerSqft,priceTotal,saleType,city,size,sizeUnit,subType,postedDate,monthsSincePosted
72439054,,"Station Road, Ashington NE63",,,retail,,290000.0,,,,,,,,,,new,,,,,,,"Keith Pattinson Ltd, Kingfisher Way, Silverlink, Wallsend, Newcastle Upon Tyne",Pattinson - Commercial,0191 686 1492,NE28 9NY,"Summary Prime Freehold High Street Investment - Station Road, Ashington An opportunity to acquire a substantial freehold commercial investment occupying a prime and highly visible position on Station Road, Ashington's main High Street. The property extends to approximately 637.50 sq m (6,862 sq ft) arranged over three floors and is fully let, producing an established income stream with leases in place until 2036, offering long-term security for investors. The ground and first floors operate as a substantial retail premises with ancillary storage, while the second floor is independently utilised as a dance studio, enhancing diversification of income within the building. Situated in a strong trading position within Ashington town centre, the property benefits from excellent frontage, consistent pedestrian and vehicular traffic, nearby public parking and close proximity to national and independent occupiers. This is a rare opportunity to secure a sizeable freehold commercial asset in a dominant High Street position with long-term tenant security and significant future potential. EPC rating: E Location The subject property is well located along Station Road. This property is located within easy reach of local amenities, transport links and schools. The subject property is located approximately 0.3 miles from Ashington town centre and approximately 17.7 miles from Newcastle city centre. Accommodation The accommodation is configured as follows: Ground Floor Retail Unit: 283.90 sq m (3,056 sq ft) First Floor Storage (serving ground floor): 235.20 sq m (2,532 sq ft) Second Floor Dance Studio: 118.40 sq m (1,274 sq ft) Tenure Freehold. Title number ND63071. VAT We are advised VAT is applicable on the purchase price. EPC Available upon request. Additional Information For further information please contact our Ashington office direct on , or alternatively via e-mail on . With regards to viewing the subject property, this is to be done strictly by appointment through Keith Pattinson Commercial department. Please contact us to arrange an internal inspection, or to register your interest.",,,,,,NE63 9UJ,,north-east,,,6862.0,,,Retail premises for sale," Summary Prime Freehold High Street Investment - Station Road, Ashington An opportunity to acquire a substantial freehold commercial investment ...",GBP,"[{'__typename': 'PointOfInterest', 'title': 'Get U Started Training (SEN)', 'type': 'uk_school_primary_and_secondary', 'distanceMiles': 0.2}, {'__typename': 'PointOfInterest', 'title': 'Central Primary School', 'type': 'uk_school_primary', 'distanceMiles': 0.2}, {'__typename': 'PointOfInterest', 'title': 'Pegswood', 'type': 'national_rail_station', 'distanceMiles': 2.9}, {'__typename': 'PointOfInterest', 'title': 'Widdrington', 'type': 'national_rail_station', 'distanceMiles': 4.4}]","{'__typename': 'ListingAnalyticsTaxonomy', 'location': 'Ashington', 'regionName': 'North East England', 'section': 'for-sale', 'areaName': 'Ashington', 'bedsMax': None, 'bedsMin': None, 'branchId': 72482, 'branchLogoUrl': 'https://st.zoocdn.com/zoopla_static_agent_logo_(770458).png', 'branchName': 'Pattinson - Commercial', 'brandName': 'Pattinson', 'chainFree': False, 'companyId': 26840, 'countryCode': 'gb', 'countyAreaName': 'Northumberland', 'currencyCode': 'GBP', 'displayAddress': 'Station Road, Ashington NE63', 'furnishedState': '', 'groupId': None, 'hasEpc': False, 'hasFloorplan': True, 'incode': '9UJ', 'isRetirementHome': False, 'isSharedOwnership': False, 'listingCondition': 'pre-owned', 'listingId': 72439054, 'listingsCategory': 'commercial', 'listingStatus': 'for_sale', 'memberType': 'agent', 'numBaths': None, 'numBeds': None, 'numImages': 28, 'numRecepts': None, 'outcode': 'NE63', 'postalArea': 'NE', 'postTownName': 'Ashington', 'priceActual': 290000, 'price': 290000, 'priceMax': 300000, 'priceMin': 275000, 'priceQualifier': 'guide_price', 'propertyHighlight': '', 'propertyType': 'retail', 'sizeSqFeet': '6862', 'smartTags': None, 'tenure': None, 'zindex': None}",sq. ft,42.26,,,,,,,,,,,,,,,,,,
143478371.0,"Freehold Pubs, Late 16th Century Suffolk freehouse, Detached period property overlooking the village church, Self-contained two bedroom accommodation, Large car park and trade garden, Popular village with primary and secondary school","E-218248 - White Hart, Church Street, Stradbroke nr Eye IP21 5HT",52.31837,1.274017,,FREEHOLD,349995.0,not specified,GBP,2024-01-08T16:48:19Z,2026-03-05T16:16:56Z,2026-05-12T16:28:26Z,price_reduced,True,False,9.0,new,,IP,,,,"{'displayAddress': 'E-218248 - White Hart, Church Street, Stradbroke nr Eye IP21 5HT', 'countryCode': 'GB', 'deliveryPointId': None, 'ukCountry': 'England', 'outcode': 'IP21', 'incode': '5HT'}","20-22
Bedford Row
London
WC1R 4EB",Fleurets Limited,01223 972805,WC1R 4EB,"This wonderful character Grade II Listed property dates from the late 16th century and is reported to have been a public house for over 200 years. The property has been extended over time to provide additional trade space. Two bedroom private accommodation is on the first floor, with some parts overlooking the village church.

Key Features:
Late 16th Century Suffolk freehouse
Detached period property overlooking the village church
Self-contained two bedroom accommodation
Large car park and trade garden
Popular village with primary and secondary school
EPC: C
Fleurets Ref: E-218248
Call to be sent the full brochure
+ SAV","[{'title': 161, 'type': 162, 'primaryText': 163, 'secondaryText': 164, 'tooltipText': 20}, {'title': 166, 'type': 166, 'primaryText': 17, 'secondaryText': 20, 'tooltipText': 20}]","['Late 16th Century Suffolk freehouse', 'Detached period property overlooking the village church', 'Self-contained two bedroom accommodation', 'Large car park and trade garden', 'Popular village with primary and secondary school', 'EPC: C', 'Fleurets Ref: E-218248', 'Call to be sent the full brochure', '+ SAV']",{'listingUpdateReason': 20},"[{'name': 126, 'types': 127, 'distance': 129, 'unit': 130}]","Pub for sale in E-218248 - White Hart, Church Street, Stradbroke nr Eye IP21 5HT, IP21",IP21 5HT,"£349,995.00",East Of England,"Pub for sale in E-218248 - White Hart, Church Street, Stradbroke nr Eye IP21 5HT, IP21 for £349,995. Marketed by Fleurets Limited, East",0.0786271808999082,,FREEHOLD,"{'tenureType': 'FREEHOLD', 'yearsRemainingOnLease': None, 'message': None}",,,,,,,,,,,,,,,,,,,,,,,,,
